Titulación,Categoría,Link,Periodo
Seminario,Procedimiento para prueba oral,https://titulacion.fca.unam.mx/seminario.php#procedimiento_po,15 al 19 de junio 2026 (según el área de conocimiento)
Servicio social,En qué consiste,https://titulacion.fca.unam.mx/servicio_social.php#consiste,Abierta Permanentemente
Servicio social,Procedimiento de inscripción,https://titulacion.fca.unam.mx/servicio_social.php#inscripcion,Abierta Permanentemente
Servicio social,Lineamientos generales del trabajo escrito,https://titulacion.fca.unam.mx/servicio_social.php#lineamientos,Abierta Permanentemente
Servicio social,Convocatoria para prueba oral,https://titulacion.fca.unam.mx/servicio_social.php#convocatoria_po,Abierta Permanentemente
Servicio social,Procedimiento para prueba oral,https://titulacion.fca.unam.mx/servicio_social.php#procedimiento_po,Abierta Permanentemente
Tesis,En qué consiste,https://titulacion.fca.unam.mx/tesis.php#consiste,Abierta Permanentemente
Tesis,Procedimiento de inscripción y acreditación,https://titulacion.fca.unam.mx/tesis.php#inscripcion,Abierta Permanentemente
Tesis,Asesores,https://titulacion.fca.unam.mx/tesis.php#asesores,Abierta Permanentemente
Tesis,Lineamientos generales del trabajo escrito,https://titulacion.fca.unam.mx/tesis.php#lineamientos,Abierta Permanentemente
Tesis,Convocatoria para prueba oral,https://titulacion.fca.unam.mx/tesis.php#convocatoria_po,Abierta Permanentemente
Tesis,Procedimiento para prueba oral,https://titulacion.fca.unam.mx/tesis.php#procedimiento_po,Abierta Permanentemente
Universidad Extranjera,En qué consiste,https://titulacion.fca.unam.mx/universidad_extranjera.php#consiste,Abierta Permanentemente
Universidad Extranjera,Procedimiento de inscripción y acreditación,https://titulacion.fca.unam.mx/universidad_extranjera.php#inscripcion,Abierta Permanentemente
Universidad Extranjera,Lineamientos generales del trabajo escrito,https://titulacion.fca.unam.mx/universidad_extranjera.php#lineamientos,Abierta Permanentemente
Universidad Extranjera,Convocatoria para prueba oral,https://titulacion.fca.unam.mx/universidad_extranjera.php#convocatoria_po,Abierta Permanentemente
Universidad Extranjera,Procedimiento para prueba oral,https://titulacion.fca.unam.mx/universidad_extranjera.php#procedimiento_po,Abierta Permanentemente
